T Eprom Mprom Cv Xs Ub M2prom
2.2 -896.919 460.315 724.681 1577.54 0.651094 215360
2.21 -889.562 454.366 744.903 1783.87 0.648907 210390
2.22 -882.151 448.273 764.24 1996.48 0.646536 205381
2.23 -874.645 441.812 782.431 2213.07 0.643921 200133
2.24 -866.984 435.022 800.952 2453.77 0.640949 194741
2.25 -858.997 427.801 817.802 2702.46 0.637642 189095
2.26 -850.855 420.067 829.298 2974.01 0.633898 183177
2.27 -842.599 412.02 843.247 3248.76 0.629742 177135
2.28 -834.357 403.684 855.309 3532.78 0.625074 171016
2.29 -826.133 395.225 859.589 3780.02 0.620355 164859
2.3 -817.759 386.364 865.03 4067.34 0.614882 158632
2.31 -809.28 377.227 868.432 4329.93 0.608956 152302
2.32 -800.862 367.651 866.047 4586.89 0.602448 145809
2.33 -792.421 358.079 864.399 4830.96 0.59548 139476
2.34 -784.223 348.453 860.048 5054.87 0.587959 133248
2.35 -775.813 338.584 854.837 5254.57 0.579914 126987
2.36 -767.72 328.835 846.416 5423.75 0.571532 120932
2.37 -759.26 318.545 834.173 5578.34 0.562144 114692
2.38 -751.517 308.856 821.372 5689.3 0.552599 108932
2.39 -743.446 298.7 811.702 5812.38 0.541755 103113
2.4 -735.554 288.795 794.041 5873.8 0.530819 97499.5


